id,pattern_no,pattern_name_ja,solution_ja,pattern_id 紐づくパターンのIDを入れてください。
100,100,工夫の宝箱,実践者同士で語り合う価値のひとつに、生の実践事例、またそれに関する気づき・発見がたくさん得られるというものがある。違う業種や業態の人とも話すことで、実践してみたことやその反応をお互いに報告し、それについて話し合うことで、これまでの自分の経験や業界の常識にとらわれないユニークなアイデアが生まれることがある。,35
101,101,用語を使って話す,実践者同士や先輩と話すときには、できるだけ感性科学マーケティングの解説や理論の中で使われている用語を使って話すようにする。そうすることで、脳が馴染みやすくなり、もしも誤った理解をしていたとしても、修正することができる。この感性科学マーケティング・パターンの言葉（例えば、《存在のアピール》や《ちょっとした自己開示》などの言葉）も、このような語り合いを支える共通言語として用いることができる。,35
102,102,源泉からの発信,どんなに誠意をもって正しく伝えているつもりでも、間接的に伝わっていく情報は、伝言ゲームのように少しずつズレていってしまうものである。そのため、自分と近い仲間からの情報だけで満足するのではなく、それが来る大元の源泉がどこかを意識し、その源泉から発信される情報を直接フォローするようにする。,36
103,103,正しい理解へのこだわり,理解を深めていこうとする時期にもいろいろな情報に多く触れるべきではあるが、自分の理解を進めるために信じるべき情報は、正しさにこだわって取捨選択するようにする。積極的に用語を使うことで、解釈が自分流になってしまっているところはないかを謙虚に確かめ、正しい理解を積み重ねていけるように努力する。,36
104,104,ひとりじゃないということ,毎日の現場では、実践をしているのが自分ひとりだけだったり、自分のしている取り組みが周りの人から共感や理解が得られなかったりして、不安になってしまうことがある。そんなときは、実践している仲間が集まる場に出て行き、仲間や先輩たちの話をたくさん聞くようにする。,37
105,105,先輩の太鼓判,実践を進めてきているが、自分のやっていることが合っているかどうか自信がもてないときは、先輩と会える場所に出ていき、自分のしていることや起こったことなどを話してみて、感想や意見を聞いてみる。そして、先輩が、どの点に「良い」と感じるのかを知り、今の自分の取り組み方の強みだと捉え、そこに自信をもって実践を進めていくようにする。,37
106,106,コミュニティへの恩返し,自分がこれまで仲間や先輩にしてもらってきたことをする側にまわり、今度は恩返しをするつもりで、自分の経験について話したり、質問に答えたりする。そうすることで、過去の取り組みを振り返って客観視したり、詳細に説明したりしようと試みるなかで、新たな見え方が生まれてくる。,38
107,107,生き証人,はじめたばかりの人から見ると、いろいろな実績を残してきた人は特別な人であり、とても手の届く存在ではないように感じられてしまうかもしれない。そこで、話しかけたり質問に答えたりしながら、難しそうに見えることでも、実はコツコツと学び、実践を積み重ねてきた結果であることを感じてもらい、誰でもここまで到達できるという成果の「生き証人」として、みんなを勇気づけていく。,38
108,108,やっているということを言う,感性科学マーケティングをやっているということ、そしてこういう成果が出ているということなどを、まずは周囲に言うところから始めるのが、第一歩である。そうすると、興味をもつ人が増え、また、同様に取り組んでいる他の実践者が見つかったりする。,39
109,109,周囲とのつながりから,巻き込み広げるということを考えると構えてしまうかもしれないが、まずは近くのお店・会社や共感できる人と、一緒に何かを始めるなど、周囲とのつながりから始めることでも、徐々に大きな規模につながっていくことがある。,39
110,110,既存のコミュニティとつながる,取り組みを大きくしたり、新しい領域にチャレンジしたりするために仲間を増やしていくときには、すでに活動しているコミュニティとつながるようにすると、速く大きく広げていくことができる。,39
111,111,共感ポイントの確認,一緒に取り組む仲間を増やしていくときには、感性科学マーケティングの考え方やこれからやろうとする目的やミッションに共感しているかどうかを確認する。そうすることで、気が合うように思えても、気持ちにばらつきがあったり、目指す方向が違っていたりして、足並みが乱れてしまうのを防ぐことができる。,39
112,112,生き方と商売の融合,《終わりなき道》 を楽しみながら歩んでいくためには、自分の生き方や好きなことと仕事を分けて考えず、商売や事業に自分の感性を思い切り出していきながら、仕事も人生も高めていくようにする。,40
113,113,人としての成長,店・会社の発展、人間としての向上は 《終わりなき道》 であり、同じ思想をもつエネルギッシュな人たちに触れ続け、学んできたコミュニティ、自分の属する地域などに還元していきながら、人間性を向上させていく活動であると捉える。,40
