id,pattern_index,pattern_no,pattern_name_ja,summary_ja,context_ja,b_problem_ja,problem_ja,b_solution_ja,solution_ja,consequence_ja,unit_no チャートにしたときに軸に紐づくか入れてください。,category_id 紐づくカテゴリーのIDを入れてください。,group_id 紐づくグループのIDをいれてください。
22,22,C1,出会ったらつながる,つながることが、 絆づくりのはじめの一歩。,商品・サービスを買ってくれるお客さんがいる。,お客さんを「お客さん」として一括りで見ているだけでは、それぞれの人を認識したり連絡したりすることができない。,たしかに、個人情報の扱いに慎重になるあまり、なるべくお客さんの情報を持たないようにしようという気持ちが働いてしまいやすい。しかし、名前も連絡先も知らないままでは、何か良いお知らせがあっても連絡することができないし、心のこもった関係性へと発展させることもできないだろう。,お客さんに、名前や連絡先などを教えてもらい、こちらから連絡できる関係になる。,連絡先をもらうときは、こちらが必要だからというのではなく、お客さんにとって良いことがあるようにし、自分から喜んで 〈加わりたくなるリスト〉 になるように工夫する。また、来てくれたお客さんとつながるだけでなく、自らいろいろなところに出向いて 〈つながりをつくりに行く〉 のもよいだろう。〈興味をもってもらえる名刺〉 にしていると、初対面のときでも、その名刺をネタに会話がはずむため、印象的に覚えてもらうことができ、次の展開につながりやすくなるだろう。,お客さん一人ひとりのことを認識しやすくなるとともに、良いお知らせがあるときには連絡することができるようになる。また、連絡がとれるようになることで、《お近づきのアプローチ》 ができるようにもなる。このように、つながることは、絆づくりの第一歩になるのである。,7,3,10
23,23,C2,お近づきのアプローチ,何度か思い出すと、 記憶に残るものだ。,お客さんとつながり、連絡ができるようになった。,一度利用してくれたお客さんでも、しばらく接触がなく、連絡もとらないと、忘れられてしまう可能性が高い。,こちらにとっては大切なお客さんであり、また利用してほしいと願っていても、お客さんの側からすると、たまたま行ったお店・会社であって、それ以上のものではないということも多い。時間が経つにつれて、印象や記憶は薄れていき、忘れられてしまうからである。,不快に思われず、忘れてしまわれないようなちょうど良い間隔や頻度で、お客さんとの接点をつくる。,利用してくれたお客さんには、〈全員へコンタクト〉するようにし、まずは来てくれたことへの感謝の気持ちを伝える。頻度としては、出会ってから 〈21日間に3回〉 くらいがちょうどよく、遅すぎて忘れられるようなことがないようにしつつ、ダイレクト・メール（DM）をどんどん送りつけるようなかたちにもならないようにも注意する。何度か接点を持った際には 〈思いがけないプレゼント〉 を贈るのもよいだろう。最初のお近づきの期間が終わったら、これまでのお客さんと同様の 〈メイン・リストへの合流〉 をするようにする。,ちょうどよいタイミングで何度かメッセージを受け取ることで、お店・会社のことを思い出し、さらに理解が進んだり、良い印象をもったりしてもらえることにつながる。また、そこで触れられた話題や、こちらの 《ちょっとした自己開示》 などから、自分やお店・会社のことにより興味をもってくれるかもしれない。こうして、「また行ってみようかな」という気持ちが生まれてくるのである。,7,3,10
24,24,C3,ちょっとした自己開示,まずは自分から知ってもらう。,お客さんにコンタクトをし始めた。,商品・サービスの情報やセールのお知らせばかりでは、単なる広告になってしまい、お客さんとの心のつながりは生まれない。,自分たちが提供している商品・サービスを知ってもらうことは、こちら側にとっては大切なことではあるが、お客さんにとっては、よくある広告に過ぎないと感じられてしまうものである。そういうものばかりが送られてくると、絆をつくるどころか、連絡先を教えたことを後悔し、お店・会社に対して悪い印象を持たれてしまう恐れがある。,お店・会社が目指していることや自分たちのちょっとした個人的なことなど、こちらの人となりを理解してもらえるように、自分を語っていく。,ニューズレターを送るときでも、店頭のボードやウェブページなどでも、〈まずは自己紹介〉 から始めるとよい。ただし、それは、「自分を知って！知って！」という自己アピールではなく、こちらのことを開くことで、相手も心のガードが解けていくような 〈心が近づくお便り〉 を目指すことが大切である。自分のことを語ることを躊躇する人もいるが、やってみると楽しくなることが多いので、まずはやってみることが大切である。,お店・会社のこと、そこで働いている人を知ってもらい、人として親しみをもってもらうことができる。まずはこちらが自己開示をすることで、相手も同じように自分のことを語りやすくなり、相互に理解が深まり、関係が深まっていくだろう。こうして、人間的な心の通う関係性になり、長く付き合うことができる関係に発展していくことになる。,7,3,10
25,25,C4,自分らしい接し方,「お客様」扱いのコミュニケーションでは、 超えられないものがある。,お客さんとの良い関係を築いていきたい。,仕事上の接し方として適切だからと、「お客様に対応する」という姿勢を崩さずにいると、お客さんとの距離は縮まらない。,お客さんに失礼がないようにと意識すればするほど、間違いのない慎重な接し方をしてしまいやすい。しかし、そのような接し方では、仕事上の役割を遂行はできても、お客さんが気を許し、心地よくやりとりできるような近い関係に至ることはできない。,お客さんに対して自分は「売り手」であるということに囚われず、自分が一人の人として自然体であるような振る舞いをするようにする。,仲間と一緒に過ごしているような、そういう自然体の自分を想像してみるとよい。友達とするような 〈目的のないおしゃべり〉 ができれば、お客さんがどのような人で何を考えているのかがわかり、またこちらのことも知ってもらう機会になる。何か特別なことをしなくても、〈言葉がけひとつでも〉 絆は育まれるものである。いきなり馴れ馴れしく接するのではなく、徐々に 〈馴染みへのステップアップ〉 をしていくとよい。,単なる売買の関係ではなく、人と人とのコミュニケーションや関係性が育まれ、お客さんとの距離感が近くなる。打ち解け始めると、リラックスした心地よい関係のなかで、お互いのことを知ることができ、よりよい提案をしたり、要望を言ってもらったりできるようになる。こうしたことが、心のつながりに発展し、情緒的な出来事が生まれる準備となる。,8,3,11
26,26,C5,心に残る体験,情緒的な体験を共有すると、 心のつながりができてくる。,お客さんとの関係性を深めていきたい。,日常的におしゃべりをするようになると距離感は縮まるが、それだけでは、心が通じるような関係には深まっていかない。,お互いに気兼ねなくおしゃべりできる距離感になれば、お互いのことをよりよく知ることはできる。だからといって、それだけでこの関係が特別だという気持ちにまでは発展するというわけではない。,心のこもった振る舞いをしたり、お客さんと一緒に楽しむ企画やイベントを実施したりして、心に残るような体験を共にする。,日頃からお客さんに 〈さりげない心遣い〉 をしたり、〈笑顔になるサプライズ〉をして、日頃のやりとりのなかに彩を添えるとよいだろう。また、馴染みのお客さんには 〈ちょっとした特別感〉 を演出すると、喜ばれるものである。それとともに、お客さんとの関係を深めるための企画やイベントを実施してみるのもよいだろう。そのときは、店・会社側が一方的に何かを提供するよりも、〈お客さんを巻き込む〉ようなかたちにすると、一体感や達成感のある体験を共有することができる。企画やイベントは、〈自分たちらしいやり方〉 で実施することを心がけるとよい。,お客さんと、「商品・サービスを売る・買う」ということを超えた情緒的な体験を共有することで、自分や店・会社などが、お客さんにとって思い入れのある存在になっていくだろう。そうなると、そこで得られる商品・サービスのためではなく、「この人から」「このお店から」「この会社から」買いたいと思ってもらえるような存在になっていくことができる。,8,3,11
27,27,C6,商いにする,つながるだけで終わらない。,お客さんとの関係性が深まってきた。,お客さんとの距離が近くなり、素敵な体験をともにして喜んでもらってはいるが、それが商品・サービスの購入につながっていかない。,《自分らしい接し方》をしたり、《心に残る体験》を共有できたりしていると、その取り組みにやりがいを感じ、また、お客さんとの距離や関係がよくなった満足感も得られるものである。しかし、それがそれだけに終わってしまい、商売・ビジネスとしての目的につながっていかないということはしばしば起こるものである。,関係が深まったお客さんに対して、適切に商品・サービスをおすすめすることで、商品・サービスを通じた価値の提供にもきちんとつなげていく。,商売・ビジネスとは、こちらが提供する商品・サービスの価値に見合う対価として代金をいただくという行為である。それがお互いの 〈ありがとうの等価交換〉 であることを理解し、変に「商売っ気が出たらいけないのではないか」と思わず、自分たちが提供する商品・サービスを買ってもらえるようにつなげていく。イベントなどを実施したときには、〈また来たくなるしかけ〉 を工夫し、その場だけの関係にならないようにするとよい。また、短期的な視点だけでなく、〈長いお付き合い〉 になるという視野で捉えるようにするのもよいだろう。,関係が深まったお客さんだからこその喜んでもらえる提案をすることにもつながり、より良い価値を提供することができる。また、商売がきちんと成り立つことで、商品・サービスや、《心に残る体験》 の機会などを安定して提供し続けられるようになる。,8,3,11
28,28,C7,うちらしさを育てる,自分たちらしい方向性の先に、 広がりができていく。,自分たちの店・会社を気に入ってくれて、繰り返し利用してくれているお客さんがいる。,いろいろな取り組みのなかで、やっていることに一貫性がないと、お客さんが気に入ってくれている自分たちらしさが消えてしまうかもしれない。,他でうまくいったという具体的なやり方をそのまま真似たり、他で売れている商品をただ「売れるから」という理由で売ったりしていると、一貫性のない店・会社だという印象になってしまい、お客さんが信頼や愛着をもつことはできなってしまう。,取り組みの内容ややり方を考えるときには、それがうちの店・会社らしいかどうかを基準にして判断し、合っていると思えることを実践していくことで、自分たちらしさを育てていく。,これまで実践してきたことを振り返ってみると、自分たちらしい個性を認識することができる。また、お客さんから「この店・会社は〇〇なのがいいね」と言われるなどの〈まわりからの見え方〉 を、自分たちらしさを考えるときの参考にすることができるだろう。自分たちらしさが見えてきたら、その後何かを決めるときには、〈うちらしいか〉 を基準に判断していくようにすると、自分たちらしさを強化していくことができる。もし今までと目指す方向性が変わってきたときには、〈ミッションの更新〉 をしても構わない。また、定番の方法や他でうまくいっていることでも、それが「うちらしくない」と思える場合には、無理に取り入れようとせず、〈それをやらない代わりに〉 自分たちは何をするかを考えるようにする。,自分たちらしさを認識でき、自分たちらしい取り組みを次々と展開していくことができるようになる。そうなると、その自分たちらしさに共感・共鳴するお客さんとさらに良い関係を築いていくことができる。そして、それは、本質は変わらないまま、変化し続けるための進化の軸となるだろう。,9,3,12
29,29,C8,魅了し続ける,他にはない 特別な存在であり続ける。,自分たちの店・会社を気に入ってくれているお客さんがいる。,今の自分たちを気に入ってくれているお客さんがいたとしても、時間が経つと、その気持ちは冷めてしまうかもしれない。,時代は少しずつ変わっていくものであり、また、同じようなことの繰り返しではお客さんは飽きてしまったりもするだろう。そうなると、よく来てくれていたお客さんも、離れていってしまう可能性がある。,今気に入ってくれていたり、応援したりしてくれている人を魅了し続けられるような、軸のぶれない変化・成長を続ける。,積み重ねて来たものを柱とし、その〈軸はぶらさずに〉、様々なことにチャレンジし、変わり続ける。そして、その変化・成長し続ける姿を見て応援してくれるような 〈ファンと呼び得るお客さん〉 を増やしていくことを心がける。さらに、そういうファンに喜んでもらうファン・サービスとしては何をするとよいかを考えていく。自分たちが提供する場が、〈つい行きたくなる場〉 になるようにつくっていくのもよいだろう。,すでにある魅力や、気に入ってもらえている良さを失わずに、変化・成長し続けることで、「ついていきたい」と思える存在になっていくことができる。そうやって、自分の店・会社に「ファン」がいる状態は、自分たちの取り組みの自信になるとともに、安定性にもつながる。さらに、変化・成長への理解がある応援者がいることで、自分たちらしい挑戦もしやすくなる。,9,3,12
30,30,C9,ファン・コミュニティ,お客さん同士が出会い、 ともに歩んでいく存在に。,店・会社のことを応援してくれる「ファン」と呼び得るお客さんが増えてきた。,ファンと呼び得るお客さんと自分の1対1の関係だけでは、お互いの想定を超えるような展開には発展していかない。,自分とファンが1対1でつながっているだけの状態では、自分が働きかけなければ何も起こらないものである。また、ファンというありがたい存在も、そのような1対1の関係に留まってしまうと、そのたくさんの絆を維持することに負担を感じてしまうかもしれない。,ファンと呼び得るお客さん同士が集まって話す機会や、何かに一緒に取り組む機会などをつくることで、ファンが集まるコミュニティが形成され、共鳴や増幅、創発が起きることを促す。,ファンと呼び得るお客さんがたくさんいても、お客さん同士はお互いに知らないので、まずは、〈ファン同士が出会える場〉 をこちらが企画するとよい。また、単にファン同士の交流というだけでなく、ファンのお客さんたちが、こちらがやろうとしていることに参加し、一緒に取り組むというような、〈こちら側に来る機会〉 をつくるのもよいだろう。そういう企画を考えるときには、自分たちにもお客さんにもメリットがある 〈Win-Winになること〉 を意識するようにする。,ファンたちのコミュニティが形成され、自分たちとの絆だけでなく、ファン同士の絆も育まれていく。ファン同士がつながると、気持ちの共鳴が起きて盛り上がったり、ファンたちから新しいアイデアや企画が出てきたりするかもしれない。また、ファンとともに行う取り組みは、新しい仲間が増えるという豊かさをもたらす。こうして、自分たちを応援して、一緒に支えてくれる《ファン・コミュニティ》の存在は、精神的な安心感をもたらし、愉しく長く商売を続けていく基盤となる。,9,3,12
31,31,D0,創発の仲間,情報と知恵の渦のなかで、 成長し続け、結果を出し続ける。,価値創造マーケティングを実践していきたい。,一人で学んで試行錯誤をしていると、理解を深めるのが難しかったり、孤独でつらい作業になってしまったりして、挫折しやすくなる。,自分の実践について一人で振り返って把握・改善するということは、不可能ではないが、なかなか難しい。また、自分だけでは気づけないことも多々あるだろう。しかも、何かをやってみてうまくいかなかったとき、孤独を感じると、挫折しやすくなってしまう。,情報やヒントが得られる環境に身を置き、相談できる先輩や仲間と語り合ったり、励まし合ったりしながら、進めていくようにする。,まずはそのような場に出向き、【つながりのなかに入る】ようにする。そうすることで、これからどのようなことを学び、どんな人になろうとしているのかというのが肌で感じられ、【つながりのなかで磨かれていく】。学びが深まってきたら、今度は、これまでの経験を【実践コミュニティをともにつくる】ことに向け、他の人の助けになりながら、自分も新たなステップに進んでいく。,人とかかわりながら学ぶことで、誤解や思い込みを避けることができ、考えを深める機会も増える。また、同じ目標に向かってがんばっている人たちが周りにいれば、自分が前に進んでいくための刺激とパワーを得ることができる。そのような仲間は、商売のことだけでなく、生き方についても高め合う仲間になることが多く、人生におけるかけがえのない存在になっていくだろう。,0,4,13
32,32,D1,場に出てみる,飛び込んでみて、 感じることがとても大切。,価値創造マーケティングの実践を始めようとしている。,考えや事例を知っても、実践にはなかなか一歩が踏み出せないかもしれない。,理解した考え方が本当にそれで合っているのかや、事例を参考に自分で考えてみた取り組みがこれでよいのかなど、不安に思う気持ちが生じ、なかなか実践に踏み出せないことがある。そういう気持ちは、一人でいくら考えても、なかなか払拭しにくいものである。,まずは実践している人たちと会える場に足を運び、すでに実践している人たちの話を聞いたり、質問したり、自分の悩みを話して相談したりしてみることで、自分がこれからどうしたらよいのかを考える。,実践している人たちの集まりで、〈ここなら行けそう〉 と思える場を探して、なにはともあれ、飛び込んでみる。その場の目的やメンバーによって、雰囲気やモードが違うので、いくつか出てみて 〈好みの場探し〉 をして、自分に合う場を探すとよいだろう。もしそういう集まりが見つからない場合には、周囲の人に価値創造マーケティングの実践を 〈始めたことを言う〉 と、想定していなかった人やつながりから情報が得られたり、仲間が見つかったりすることがある。,自分がこれから取り組んでいくことをすでに実践している人たちに出会うことで、未来へのリアリティを感じたり、孤独ではないと感じたりすることができ、ためになる情報や励ましも得られるかもしれない。また、自分が感じている不安や思いを口に出すと、先輩たちも同じような道を経てきたことがわかったり、そこから次に行くためのヒントが得られたりすることもあるだろう。,10,4,14
33,33,D2,とにかくつかる,どっぷり浸(つか)かると、見えてくる。,価値創造マーケティングについて理解を深めたい。,時間がない、費用がないなどの理由で、参加・接触の頻度や濃度を薄くしてしまうと、習得に時間がかかってしまったり、なかなか結果が出なかったりする。,何でも学び始めのときには、五里霧中で、何がわからないのかもわからないような状態になるものである。そうなると、理解できている範囲のなかでしか実践できないだけでなく、その範囲がほぼすべてだと思ってしまい、より奥深いところがあることにも気づくことができない。,わからなかったり、できなかったりしてもよいので、とにかく考え方や事例などの情報にできるだけ多く触れ続けるようにする。,まずはどっぷりと浸かって、とにかく情報に触れ続けることを大切にする。事例なども、まずは流し読む程度でよいので 〈ガバッと入れる〉 ようにする。読む・見るだけでなく、〈目から耳から〉 いろいろな方法で情報を入れるようにすると、時間がないなかでも多くの情報に触れることができる。また、他にもやることがあるなかで、一つに没頭することに抵抗があるときは、「とにかく半年だけは」など、〈つかり期間〉 を決めてみると、その期間は思い切って集中して浸かることができる。,徐々に理解が深まり、いろいろなことがつながり、意味が見出せるようになるだろう。そうなると、学ぶことが楽しくなってきて、「すごい！」「もっと知りたい！」「ここはどうなっているんだろう？」というように、自分のなかに好奇心が湧いてくるようになる。こうして、自分の理解に自信を持てるようになり、実践したいことも見えてくるだろう。,10,4,14
34,34,D3,リアルに感じる,事例を生んだ人たちに出会う。,価値創造マーケティングを実践しようとしている。,いまいち自分の商売や事業で効果が出るというイメージが持ちづらく、実践に踏み出すことができないということもある。,考え方を理解し、大切だと思い、事例も魅力的だと感じていても、これまでの自の経験と照らして、どこか心のなかで本当のことだと思えなかったり、そこまで効果があるとは信じることができなかったりするかもしれない。,すでに実践している身近な人や、事例に出てくる人のことを知り、リアリティを感じるようにする。,自分がすごいと思う事例をつくった人と会えそうな場に出向いてみたり、人づてで紹介してもらったりするとよいだろう。あるいは、本人が話している動画などを見るのでもよい。実際に知ってみると、ものすごく実績を上げている人も、伝説的な事例をつくった人も意外と普通の人で、〈すごい人もただのおじさん〉 だと感じたりするものだ。また、そういう人たちが、その成功に至るまでに行ったいろいろな試行錯誤や、実践を重ねた故に見えてくる世界について、話を聞くのもよいだろう。こうやって、リアリティをつかみつつ、業界や自分のなかにあった 〈これまでの常識の一旦保留〉 をして、実践へと踏み込んでいく。,自分と同じような状況の人が、試行錯誤を重ね、実績をあげているということのリアリティを感じると、自らの実践への意欲が湧いてくるだろう。また、実践を重ねている人たちの楽しそうな様子を見ると、自分も実践を重ねたあとに、その仲間入りをするんだと思うと、ワクワクしてくるかもしれない。,10,4,14
35,35,D4,語り合い高め合う,外化すると見えてきて、 話してみると創発が起きる。,自分なりに実践をしている。,一人で実践を続けていると、自分の間違い・勘違いに気づかなかったり、発想に限りが出てしまったりする。,自分がそうだと理解し、思い込んでいることを、自分で認識・修正していくということは難しい。また、自分で思いつく範囲での取り組みにとどまり、バリエーションが広がっていかなかったり、これまでの常識の範囲内でのアイデアしか思いつかなかったりする。,自分のやっていることや考えていることを、先輩や仲間と語り合うことで、新たな気づきを得る。,思考を深めたり、新しい考え方を得たりしようとしているときには、頭の中であれこれ考えているだけではなく、〈話すことによる気づき〉 が大きな力となる。また、実践している人から聞く話は、〈工夫の宝箱〉 だと捉え、どんどん聞き、また逆にどんどん話すようにする。そのときには、理論の 〈用語を使って話す〉 ようにするとよい。さらに、この価値創造マーケティング・パターンの言葉も、このような語り合いを支える共通言語になる。,話すことで思考が整理され、それまでの取り組みや学んできたことに関する理解を深めることができるとともに、他の人からの話は新しい発想や刺激となるだろう。ともに高め合い学び合う仲間がいれば、コミュニティ全体でレベルアップしていくことができ、お互いに結果を出し続けることになる。そのような仲間たちは、人生におけるかけがえのない存在となることにつながっていくだろう。,11,4,15
36,36,D5,源泉に触れ続ける,自分が知っていることも、 すでにバージョン・アップしているかもしれない。,日々、試行錯誤しながら実践を続けている。,以前知って理解したことのなかに、すでにバージョン・アップされていて、もっと良い方法や表現に更新されているものがあるかもしれない。,価値創造マーケティングの考えと方法は、時代状況やたくさんの実践事例、関係する学問の発展などによって、絶えず更新され続けるものである。そのため、一度理解したと思ったことでも、その考え方や方法は、より良い内容や表現に変わっていることがあり、学び続けることが不可欠となる。また、自分なりの実践を重ねているうちに、自己流になって、本質からズレていってしまうこともあるので、注意が必要である。,更新・進化した考え方や方法を知り、正しく理解し続けるために、大元の情報源からの最新情報に積極的に触れ続ける。,誰かを介した又聞きではなく、信頼できる 〈源泉からの発信〉 をしっかりフォローし、積極的に触れ、自分の理解をアップデートしていくことを心がける。そのときには、〈正しい理解へのこだわり〉 をもって学ぶようにするとよい。,常に最新の情報に触れることで、そのときどきの最良の実践をすることができるようになる。また、自己流になってズレてしまった考えを補正することもできる。さらに、自分の実践・経験も日々増えているので、すでに知っていたことでも、改めて聞き直すことで、気づきや発見を得ることができる。,11,4,15
37,37,D6,自信のチャージ,進み続ける勇気と安心をもたらし合う、 お互いに背中を押し合える関係。,実践を続けていく中で、このままでよいのか、不安になることがある。,不安なまま続けて精神的につらくなってしまったり、自信を持てないままでいたりすると、実践が止まってしまいやすい。,グッとこらえて実践を重ねるべきときなどに、「こういう取り組みでよいのか」「このまま続けていて大丈夫なのか」などと、不安に感じることはあるだろう。特に一人で推進しているときなどは、周囲にも相談できないまま、自分だけで抱えてしまうことがある。,先輩や仲間に会う機会をつくり、自分のやっていることや不安に思うことを話して反応をもらったり、他の人の頑張りを聞いたりして、勇気をもらいに行く。,不安で元気がないときだからこそ、実践者たちの集まりに出向き、〈ひとりじゃないということ〉 を実感しにいくとよい。そこには同じような志を持ちながら不安や悩みを抱えた仲間や、それを乗り越えた先輩たちがいるはずだ。そこで、自分たちの不安に思うことを語り合うだけでも、一人ではないことを感じて、パワーをもらえるだろう。しかも、自分では不安に感じていた取り組みに対して、〈先輩の太鼓判〉 をもらったりすることもある。,がんばっていたり悩んでいたりしているのは自分だけではないと思えることで、前に向かう力を得ることができる。また、先に進んでいる先輩からの励ましや太鼓判は、この先に進んで行くための、何よりの安心材料ともなる。大きな成果はいきなり達成できるものではなく、地道な努力によって成し遂げられるので、挫折しそうになるときは誰にでもあるが、このように背中を押し合っていくことで、大きな成長へとつながっていく。,11,4,15
38,38,D7,伝えながら育つ,後輩に伝えていくことで 初めて得られる新たな気づきがある。,実践をかなり重ね、実践者として手応えを得られるようになってきた。,学び続け実践を重ねてくると、ある段階までいくと、大きく伸びにくくなってしまう。,自分ではよくわかっていると感じていることでも、実はきちんと理解できていないことも多い。また、自分がわかっていないことや深まっていないことは、苦手で見えていないことも多く、自分だけでは気づきにくいものである。,自分がやってきたことを振り返って、後輩となる実践者たちに伝えたり、学びの浅い段階の人からの質問に答えたりすることで、自らも更なる進化へと進んでいく。,これまでいろいろな学びや刺激や勇気をもらってきたことを、今度は自分が後輩に伝えて 〈コミュニティへの恩返し〉 をする。また、これまで実践を重ねて成果を上げてきた 〈生き証人〉 として、多くの後輩たちに前に進むための参考にしてもらうのもよいだろう。また、そのなかで、説明したり、質問に答えたりすることで、自らの考えを深め、研ぎ澄ましていくようにする。,どのようにすればわかりやすく説明できるかを考えたり、様々な疑問（時には想定外の質問）に対する答えを考えたりしているうちに、改めて本質が見えてきたり、自分が見えていなかったことに気づいたり、新たな発想が生まれたりすることがある。また、改めて振り返ることで、自分の成長や軌跡を俯瞰することができ、自分を一段上に上げることになり、誇りを感じる機会にもなる。こうして、実践者コミュニティへ貢献することは、自分のいるコミュニティを引き上げながら、自らの喜びを得ることにもつながるだろう。,12,4,16
39,39,D8,巻き込み広げる,仲間が増えると、 できることも広がっていく。,自分の店・事業で、実践の成果を安定的に出せるようになった。,自分の店・事業の状況が良くなればなるほど、周囲の苦しい状況が気になってしまい、なんとかならないかと心を痛めることがある。,自分たちの実践によって関係性や場の質が上がると、相対的に周囲のことが目についてしまうものである。「こうしたらよいのに」とか「それはやっちゃだめだよね」と、問題点や改善案が見えてくることもあるだろう。ときには、かつての自分を見ているようで、つらく感じてしまうこともあるかもしれない。,地域の人や業界の仲間にも価値創造マーケティングの考えを共有し、一緒に取り組んだり、支え合ったりすることで、周囲も含めて全体的により良くなるように活動を広げていく。,まずは、自分が価値創造マーケティングの実践を 〈やっているということを言う〉 ことからすべては始まる。また、自分の店・事業の状態に興味を持ってくれる人がいれば、どのような考えのもと何をやっているのかを紹介するようにする。また、地域や業界で 〈周囲とのつながりから〉 始めることや 〈既存のコミュニティとつながる〉 ことで、取り組みを大きく展開していくことができるだろう。そのときには、必ず 〈共感ポイントの確認〉 をするようにする。,つながりながら連動企画をするなど、店・会社の魅力を大きな活動をつくっていくことができるようになる。そうなると、実践する仲間が増え、地域や業界の全体の魅力が上がるだろう。このことは、そこにある個々の店・会社も底上げされるということになり、それぞれにもメリットがある。このような展開に至ると、仕事により大きなやりがいをもたらし、豊かな人生につながることになるだろう。,12,4,16
40,40,D9,終わりなき道,「あり方」を極める。,かなりの実践を重ね、成果もたくさん生み出してきた。,もう自分はマスターしたと思い、学ぶことをやめてしまうと、そこで止まってしまう。,実践によって確実に成果が出せるようになると、「もうよくわかった」と思い、これでよいと思う気持ちが出てくるものである。しかし、時代は動き、周囲を含む世界は変化していく。また何より、生きるとは変わり続けることである。そのため、学ぶことを止めるということは、先に進まず、そこに止(とど)まるということを意味するのである。,新しい世界をどんどん切り拓き、人間性も高め続けている魅力的な仲間たちとともにいる幸せを噛みしめながら、商人としても人としても、自分を磨き続ける。,自分らしく実践をしたことによって、お客さんに喜ばれ、仕事にやりがいを感じ、売り上げにもつながるという循環が続くと、〈生き方と商売の融合〉 が感じられるようになる。このように、商売をより良くしていくことは、〈人としての成長〉 につながっていく、ものであり、またその逆も然りなのである。,商売が人生を豊かにし、人生が商売を豊かにするだろう。そして、それは、愉しく仕事を続けていくことにつながる。さらに、学び続けようという姿勢は、傲慢にならず、今の自分に謙虚であるということにつながり、人間性としても深まっていく。そのような境地に達した素晴らしい仲間たちや、自分たちに続く後輩たちとともに歩みを進め、道を極めていくということは、「生きる」ということにほかならないのである。,12,4,16
